gameId,gameName
1,140
2,"10,000,000"
3,007 Legends
4,0RBITALIS
5,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)
6,10 Second Ninja
7,100% Orange Juice
8,1000 Amps
9,12 Labours of Hercules
10,12 Labours of Hercules II The Cretan Bull
11,12 Labours of Hercules III Girl Power
12,15 Days
13,16 Bit Arena
14,16bit Trader
15,1701 A.D. Gold Edition
16,1701 A.D. Sunken Dragon
17,18 Wheels of Steel American Long Haul
18,1953 - KGB Unleashed
19,1953 NATO vs Warsaw Pact
20,1954 Alcatraz
21,1Heart
22,1Quest
23,3 Stars of Destiny
24,3089 -- Futuristic Action RPG
25,3D Mini Golf
26,3DMark
27,3DMark 11
28,3DMark API Overhead feature test
29,3DMark Cloud Gate benchmark
30,3DMark Fire Strike benchmark
31,3DMark Ice Storm benchmark
32,3DMark Sky Diver benchmark
33,3DMark Vantage
34,3SwitcheD
35,4 Elements
36,404Sight
37,500 Years Act 1
38,60 Seconds!
39,7 Days to Die
40,"7 Grand Steps, Step 1 What Ancients Begat"
41,7 Wonders Ancient Alien Makeover
42,"7,62 High Calibre"
43,8-Bit Adventures The Forgotten Journey Remastered Edition
44,8-Bit Commando
45,8BitBoy
46,8BitMMO
47,9 Clues 2 The Ward
48,9 Clues The Secret of Serpent Creek
49,9.03m
50,911 First Responders
51,99 Levels To Hell
52,99 Spirits
53,A Bastard's Tale
54,A Bird Story
55,A City Sleeps
56,A Druid's Duel
57,A Farewell to Dragons
58,A Game of Thrones - Genesis
59,A Golden Wake
60,A New Beginning - Final Cut
61,A Story About My Uncle
62,A Valley Without Wind
63,A Valley Without Wind 2
64,A Vampyre Story
65,A Virus Named TOM
66,A Walk in the Dark
67,A Wizard's Lizard
68,A.I.M. Racing
69,A.I.M.2 Clan Wars
70,A.R.E.S.
71,A.R.E.S. Extinction Agenda EX
72,A.V.A - Alliance of Valiant Arms
73,AaAaAA!!! - A Reckless Disregard for Gravity
74,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome
75,Aarklash Legacy
76,Abandoned Chestnut Lodge Asylum
77,Abducted
78,Aberoth
79,"About Love, Hate and the other ones"
80,Absconding Zatwor
81,Absent
82,Absolute Drift
83,Abyss Odyssey
84,Abyss The Wraiths of Eden
85,ACE - Arena Cyber Evolution
86,ACE COMBAT ASSAULT HORIZON Enhanced Edition
87,Ace of Spades
88,Aces Wild Manic Brawling Action!
89,Achron
90,Act of Aggression
91,Act of War Direct Action
92,Act of War High Treason
93,Action! - Gameplay Recording and Streaming
94,Actual Sunlight
95,Advent Rising
96,AdVenture Capitalist
97,Adventure Chronicles The Search For Lost Treasure
98,Adventure Park
99,Adventure Time  Explore the Dungeon Because I DONT KNOW!
100,Adventurer Manager
101,Adventures of Bertram Fiddle Episode 1 A Dreadly Business
102,Adventures of Shuggy
103,Aeon Command
104,Aerena
105,aerofly RC 7
106,After All
107,Afterfall InSanity - Dirty Arena Edition
108,Afterfall InSanity Extended Edition
109,Afterfall Reconquest Episode I
110,Afterlife Empire
111,Aftermath
112,Agapan
113,Agarest - Additional-Points Pack 2 DLC
114,Agarest - Additional-Points Pack 3 DLC
115,Agarest - Additional-Points Pack 4 DLC
116,Agarest - Additional-PP Pack 1 DLC
117,Agarest - Additional-PP Pack 2 DLC
118,Agarest - Additional-TP Pack DLC
119,Agarest - Basic Adventure Pack DLC
120,Agarest - Carrot-and-Stick Pack DLC
121,Agarest - Dull-Things Pack DLC
122,Agarest - Fallen Angel Pack DLC
123,Agarest - Fishy Pack 1 DLC
124,Agarest - Fishy Pack 2 DLC
125,Agarest - Jack Pack DLC
126,Agarest - Legendary Adventure Pack DLC
127,Agarest - Legendary-Monster Pack DLC
128,Agarest - Magic Fight Pack DLC
